TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Hoxd4	Th17_downOnly.txt	Th17_downOnly	1248	down	33	16	0.0498785093296	1	1110032F04Rik 4632434I11Rik Atxn1 C2 Ccdc50 Dtx3l Elovl2 Fam84a Ogdhl Pank1 Pdcd1lg2 Plxnc1 Rdh10 Rxra Tnfrsf13c Trmt11
Sox5	Th17_downOnly.txt	Th17_downOnly	1248	down	33	16	0.0498785093296	1	A1cf Angpt1 Btbd11 Ccr8 Cyth3 Ddx43 Eml1 Glcci1 Klf2 Klf3 Pde4a Tbc1d30 Tmprss3 Ubash3a Zfp280b Zfp362
Zbtb33	Th17_upOnly.txt	Th17_upOnly	1170	down	102	40	0.0506639258252	1	4932438H23Rik Adamtsl5 Aldoa B430319G15Rik Blvrb Capg Car9 Chd7 Chmp4b Crispld2 Ddit3 Dgat1 Efemp2 Eif4e3 Ermn Flot1 Gab1 Gfra1 Gm6225 Gp49a Gpr3 Grina Hif1a Hpcal4 Ifitm1 Lama5 Lilrb4 Lipe Lst1 Mapk3 Mmp10 Nrbp2 Serpine1 Siah3 Sncb Timd2 Tnip2 Ttc39c Xcr1 Ypel3
Zfp420	Th17_upOnly.txt	Th17_upOnly	1170	down	17	9	0.0509946269468	1	Arhgdig B4galt2 C030037D09Rik Cav1 Epm2a Gys1 H2-DMb2 Podnl1 Upp1
Eea1	Th17_upOnly.txt	Th17_upOnly	1170	down	17	9	0.0509946269468	1	Arl4c Cebpb Cercam Cxcr4 Rab4b Rcan3 Ripk3 Tbxa2r Znrf1
Jdp2	Th17_upOnly.txt	Th17_upOnly	1170	up	71	29	0.053116138877	1	Acox3 Adm2 Aldh1l2 Angptl6 Ankrd55 Avpi1 C2cd4d C3 Cela1 Creb3l2 Ddit3 Eif4ebp1 Fam65c Itgb8 Itpk1 Mxi1 Myo3b Olfm2 Pck2 Pik3r6 Ppfia3 Prex1 Rab39b Sh3pxd2b Tle1 Trib3 Tubb3 Tubb6 Vegfa
Meis3	Th17_downOnly.txt	Th17_downOnly	1248	up	67	29	0.0548736747655	1	1700040L02Rik Abcg3 Ccl5 Cd70 Cd74 Cmtm7 Cmtm8 Dhrs3 Dusp14 Fam43a Gbp8 Gzmb Hes1 Itgb3 Perp Pkp4 Ppfibp2 Prm2 Pter Rhod Rilpl2 Slc12a8 Slc1a2 Stc2 Thrb Tmem35 Tspan3 Txlnb Unc93b1
A430033K04Rik	Th17_downOnly.txt	Th17_downOnly	1248	up	21	11	0.0549133701716	1	Ankrd33b Cntln Fmnl2 Fn1 Galm Gen1 Igsf9b Pcdhgc4 Sulf2 Thrb Tlr9
Smad4	Th17_downOnly.txt	Th17_downOnly	1248	down	41	19	0.0557008961048	1	Adam10 Agr3 Bace2 Ccdc80 Cdkn2a Ces2g D630039A03Rik Dlk1 Ebag9 Gprin3 Hesx1 Itih5 Krt222 Nefh Nrgn Ppap2a Tnfsf8 Xaf1 Zhx2
Arntl2	Th17_upOnly.txt	Th17_upOnly	1170	up	77	31	0.056482860714	1	Amdhd2 Aph1b Apold1 Atp6v0d2 Avpi1 B3gnt5 Cpne6 Emp1 Gadd45g Gcnt2 Il22 Lilrb4 Lst1 Ltb Mfsd6l Mgst3 Mrgpre Mvp Nedd4 Nkain1 Nod2 Pde6d Pigz Pik3r6 Podnl1 Sepw1 Skap2 Srgap3 Srgn Tubb6 Ugt1a6b
