	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
Gm14023	8.0	2.0	4.0	0	1.0	3.0	0	2.0	1.0
Gm14137	2.0	0	2.0	0	0	0	0	0	0
Gm14164	6.0	0	2.0	2.0	1.0	2.0	0	1.0	0
Gm14169	0	0	0	0	0	0	0	2.0	0
Gm14379	0	0	0	0	0	0	0	0	1.0
Gm14634	3.0	3.0	2.0	0	1.0	0	0	0	2.0
Gm14718	8.0	0	4.0	1.0	4.0	6.0	0	1.0	1.0
Gm15008	8.0	2.0	3.0	0	1.0	3.0	0	0	0
Gm15133	3.0	2.0	2.0	1.0	3.0	2.0	0	1.0	3.0
Gm15326	3.0	1.0	2.0	0	3.0	3.0	0	0	3.0
Gm15328	1.0	0	0	0	0	0	0	0	0
Gm15401	3.0	0	3.0	0	1.0	2.0	0	0	0
Gm15408	6.0	0	1.0	0	3.0	2.0	0	0	2.0
Gm15413	2.0	0	2.0	0	1.0	2.0	0	3.0	0
Gm15417	9.0	0	4.0	2.0	10.0	6.0	1.0	4.0	0
Gm15441	4.0	5.0	4.0	1.0	1.0	10.0	0	1.0	3.0
Gm15446	12.0	0	7.0	0	3.0	2.0	0	1.0	1.0
Gm15471	7.0	2.0	4.0	0	4.0	2.0	0	2.0	0
Gm15545	8.0	1.0	3.0	3.0	4.0	5.0	0	0	0
Gm15612	3.0	1.0	2.0	0	3.0	0	0	0	0
Gm15663	9.0	0	6.0	2.0	6.0	5.0	0	2.0	4.0
Gm15698	5.0	0	1.0	0	4.0	2.0	0	0	0
Gm15706	3.0	0	2.0	1.0	3.0	1.0	1.0	1.0	0
Gm15760	3.0	0	5.0	2.0	4.0	5.0	2.0	0	0
Gm15772	3.0	2.0	2.0	1.0	4.0	0	2.0	0	0
Gm15787	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	0
Gm15800	2.0	0	0	0	0	0	0	0	0
Gm15816	0	0	0	0	0	2.0	0	0	0
Gm15850	17.0	3.0	12.0	3.0	10.0	7.0	1.0	3.0	4.0
Gm15880	8.0	0	6.0	2.0	8.0	4.0	0	3.0	4.0
Gm15908	2.0	0	3.0	0	0	2.0	0	3.0	2.0
Gm15915	6.0	0	2.0	0	1.0	0	0	0	0
Gm15972	3.0	0	2.0	0	2.0	3.0	0	1.0	0
Gm15987	8.0	0	6.0	0	3.0	1.0	0	0	0
Gm15997	9.0	1.0	2.0	0	4.0	4.0	0	1.0	3.0
Gm16023	6.0	4.0	2.0	3.0	5.0	2.0	0	1.0	0
Gm16062	3.0	1.0	0	0	4.0	2.0	0	1.0	0
Gm16130	7.0	0	6.0	0	2.0	2.0	0	1.0	3.0
Gm16157	21.0	1.0	8.0	2.0	13.0	9.0	0	4.0	4.0
Gm16287	1.0	0	1.0	0	0	2.0	0	0	0
Gm16325	2.0	0	1.0	0	0	0	0	0	0
Gm16386	2.0	0	0	0	0	0	0	0	0
Gm16432	0	0	0	2.0	1.0	0	0	0	0
Gm1647	12.0	2.0	2.0	1.0	10.0	2.0	1.0	0	1.0
Gm16576	2.0	0	3.0	0	1.0	0	0	2.0	1.0
Gm16596	5.0	0	3.0	0	3.0	0	0	0	0
Gm1661	3.0	2.0	2.0	2.0	3.0	4.0	0	3.0	3.0
Gm16617	1.0	0	2.0	0	0	0	0	1.0	0
Gm16675	11.0	2.0	5.0	2.0	6.0	2.0	0	1.0	4.0
Gm16701	2.0	0	0	0	0	0	0	0	0
Gm16702	5.0	0	8.0	0	1.0	0	0	0	1.0
Gm16712	13.0	2.0	10.0	1.0	8.0	8.0	0	4.0	3.0
Gm1673	2.0	0	2.0	0	0	0	0	1.0	1.0
Gm16740	11.0	6.0	7.0	3.0	10.0	10.0	3.0	5.0	1.0
Gm16793	4.0	0	2.0	1.0	3.0	4.0	1.0	2.0	2.0
Gm16796	3.0	0	3.0	0	1.0	0	0	0	1.0
Gm16845	4.0	2.0	3.0	3.0	2.0	1.0	0	0	0
Gm16853	0	0	0	0	0	1.0	0	0	0
Gm16861	2.0	0	0	0	0	1.0	0	0	0
Gm16863	4.0	0	2.0	0	1.0	0	0	0	0
Gm16894	9.0	0	2.0	0	2.0	2.0	0	1.0	0
Gm16897	1.0	0	0	0	1.0	0	0	0	0
Gm16907	4.0	0	2.0	0	2.0	2.0	0	1.0	0
Gm16938	0	0	2.0	0	1.0	0	0	0	0
Gm16973	2.0	0	3.0	0	0	0	0	0	0
Gm16998	8.0	1.0	7.0	2.0	5.0	3.0	0	4.0	5.0
Gm1715	2.0	0	2.0	0	0	0	0	0	0
Gm1720	6.0	0	5.0	0	5.0	2.0	0	0	0
Gm17296	9.0	2.0	3.0	1.0	1.0	0	0	1.0	0
Gm17359	18.0	0	14.0	0	6.0	8.0	0	4.0	6.0
Gm17455	5.0	0	4.0	0	0	1.0	0	0	0
Gm17484 	0	1.0	0	1.0	3.0	1.0	0	0	0
Gm17641 	2.0	0	0	0	2.0	0	0	1.0	0
Gm17660	1.0	0	0	0	0	2.0	0	0	1.0
Gm17733	4.0	0	3.0	1.0	0	0	0	0	0
Gm17745	18.0	2.0	14.0	0	11.0	10.0	0	5.0	6.0
Gm17762	5.0	0	1.0	1.0	6.0	3.0	0	1.0	0
Gm17769	10.0	0	10.0	2.0	2.0	7.0	0	2.0	3.0
Gm17801	3.0	0	2.0	2.0	3.0	2.0	1.0	1.0	2.0
Gm19277	0	0	2.0	0	0	0	0	0	1.0
Gm19279 	9.0	0	7.0	0	6.0	5.0	0	1.0	1.0
Gm19299	6.0	0	6.0	0	1.0	3.0	0	0	0
Gm19303	6.0	0	6.0	0	1.0	2.0	0	0	0
Gm19345	7.0	0	4.0	0	1.0	2.0	0	1.0	0
Gm19395	2.0	0	0	0	0	1.0	0	0	0
Gm19434	4.0	0	3.0	0	0	0	0	0	2.0
Gm19461	2.0	0	0	0	0	0	0	0	0
Gm19466	7.0	0	3.0	0	0	0	0	0	0
Gm19510	19.0	0	16.0	1.0	9.0	6.0	0	4.0	6.0
Gm19522	14.0	0	8.0	0	8.0	4.0	0	1.0	1.0
Gm19557	15.0	0	11.0	1.0	7.0	7.0	0	1.0	4.0
Gm19589	3.0	0	3.0	0	2.0	1.0	0	0	0
Gm19619	11.0	0	7.0	0	7.0	6.0	1.0	1.0	1.0
Gm1966	2.0	0	1.0	0	0	4.0	0	0	0
Gm1968	6.0	0	1.0	0	0	0	0	0	0
Gm19689	2.0	0	0	0	0	0	0	0	0
Gm19705	13.0	0	8.0	1.0	10.0	7.0	0	2.0	8.0
Gm19710	1.0	1.0	3.0	1.0	2.0	1.0	0	0	0
Gm1976	2.0	4.0	5.0	2.0	3.0	0	0	0	1.0
Gm19897	6.0	3.0	5.0	2.0	7.0	4.0	0	3.0	4.0
