	Atf6	Batf	Bcl11b	Crem	Ddit3	Egr2	Etv6	Fosl2	Hif1a	Id2	Ikzf3	Ikzf4	Irf4	Irf8	Lef1	Maf	Nfatc2	Nfe2l2	Pou2af1	Prkrir	Rorc	Satb1	Sp4	Stat3	Zeb1	Zfp36l2
9430020K01Rik	0	0.674736136403	0.655775872939	0	0	0.660176196995	0	0	0	0	0	0	0.67255229385	0	0	0	0	0	0	0	0	0.663003917039	0	0.677881344426	0	0.679881221981
9430038I01Rik	0	0	0	0	-0.669538247153	0	-0.608437198828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9530082P21Rik	0	0	0	0	0	0	0	0.614917840405	0.652369553306	0	0	0	0	0	0	0	0	0	0	0	-0.600428212487	0	0	0	0	0
9930021J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.636967405588
9930104L06Rik	0	0	0	0	-0.657188650434	0	0	0	0	0	-0.654029871525	0	0	0	0	-0.608122766603	0	0	0	0	0	0	0	0	0	-0.623403449929
9930111J21Rik1	0	0	-0.646906355244	0	0	0.494451352026	0.516606201792	0	0	0.658476004356	0	0	0	0.431694202808	0	0	0	0	0.292108201694	0	0	0	-0.491926021535	0	0	0
9930111J21Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.24913114557	0	0	0
A230046K03Rik	0	0	0	0	0	0	0	0.604327984333	0.593785603099	0	0	0	0	0.296891703008	0	0	0	0	0	0	0	0	0	0	0.294462191794	0
A230050P20Rik	0	0.61878703971	-0.686268210048	0	0	-0.685906793697	-0.684526183235	0	0	0.682106605017	0.624332694235	0	0	0	0	0	0	0	0	0	0	-0.627740446143	0	0	0	-0.682350456801
A430005L14Rik	0.648556730372	0	0	0	0	0	0	0	0	0.679323392634	0	0	0	0	0	0	0	0	0	0	0	0	-0.567790412106	0	0	0
A430033K04Rik	0	0	0	0	0	0	0	0	0	-0.646013656857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A430078G23Rik	0	0	0	0	0	0	0.479785928029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.995920495994	0	0	0
A430093F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.609113047405	0	0	0	0	0	0	0	0.671309046528	0	0
A630001G21Rik	0.634011626851	0	-0.662931556254	0	-0.643010286979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630033H20Rik	0	-0.678504986825	-0.652139664009	0	0	0	0	0	0	0	-0.637343278593	0	-0.660228161947	0	0	-0.661138931152	0	0.670104372512	0	0	0	0	0	0	0	0
A630089N07Rik	0	0	0	0	0	-0.613446429455	0	0	0	0	0	0	0	0	0	0	0	0.652218227259	0	0	0	0	0	0	0	-0.655428552805
A830010M20Rik	0	0	0	0	0	0	0	0	0.641361325223	0	0	0	0	0	0	0	0	0	0	0	-0.66068354655	0	0	0.592488946583	0	0
A830080D01Rik	0	-0.629854731797	-0.67175734355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.659671580767	0	0	0	0
A930005H10Rik	0	0	0	-0.648792948597	0	-0.651333705546	0	0	0	-0.675093216471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930013F10Rik	0	0	0	0	0	0	0	0	0	0.625884528005	0	0	0	0	0	0	0.654686918841	0	0	0	0	0	0	0	0	0
A930015D03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.607768578579	0	0	0	0	0	0	0	0	0	0
