Regulator	Target	Weight	stroke
Irf4	B4galnt1	-1.8486	rgb(117,156,235)
Stat3	B4galnt1	-1.7821	rgb(120,158,234)
Fosl2	B4galnt1	-1.6904	rgb(125,161,233)
Batf	B4galnt4	1.9356	rgb(222,124,125)
Irf4	B4galnt4	1.9334	rgb(222,125,126)
Maf	B4galnt4	1.9299	rgb(222,125,126)
Stat3	B4galnt4	1.9408	rgb(222,124,125)
Maf	B4galt1	1.9758	rgb(222,123,124)
Rorc	B4galt1	-1.8868	rgb(115,155,235)
Fosl2	B4galt1	1.9241	rgb(222,125,126)
Stat3	B4galt5	-1.6497	rgb(127,163,233)
Fosl2	B4galt5	-1.7884	rgb(120,158,234)
Hif1a	B630005N14Rik	1.8037	rgb(222,131,132)
Hif1a	BC017643	1.8843	rgb(222,127,128)
Batf	BC021614	1.8551	rgb(222,128,129)
Stat3	BC021614	1.9572	rgb(222,123,124)
Fosl2	BC021614	1.8862	rgb(222,127,128)
Etv6	BC029214	-1.7513	rgb(122,159,234)
Irf4	BC029722	1.7713	rgb(222,132,133)
Hif1a	BC030867	1.7797	rgb(222,132,133)
Etv6	BC037034	-1.7266	rgb(123,160,233)
Irf4	BC052040	1.7598	rgb(222,133,134)
Stat3	Bach2	1.9196	rgb(222,125,126)
Batf	Baiap2	-1.7685	rgb(121,159,234)
Batf	Batf	1.9695	rgb(222,123,124)
Maf	Batf	-1.7058	rgb(124,161,233)
Stat3	Batf	1.9651	rgb(222,123,124)
Fosl2	Batf	-1.9495	rgb(111,153,236)
Maf	Batf3	-1.9049	rgb(114,154,235)
Stat3	Batf3	-1.7897	rgb(120,158,234)
Rorc	Batf3	-1.951	rgb(111,153,236)
Fosl2	Batf3	-1.8761	rgb(115,155,235)
Irf4	Baz2a	1.7434	rgb(222,134,135)
Batf	Bcar1	1.5332	rgb(221,144,144)
Fosl2	Bcat1	-1.8073	rgb(119,157,234)
Batf	Bcl2	1.9529	rgb(222,124,125)
Stat3	Bcl2	1.9007	rgb(222,126,127)
Rorc	Bcl2	-1.9694	rgb(110,152,236)
Fosl2	Bcl2	1.9942	rgb(222,122,123)
Hif1a	Bcl2	1.9208	rgb(222,125,126)
Batf	Bcl2a1a	1.7301	rgb(222,134,135)
Fosl2	Bcl2a1a	-1.7686	rgb(121,159,234)
Batf	Bcl2a1b	1.9609	rgb(222,123,124)
Irf4	Bcl2a1b	-1.9049	rgb(114,154,235)
Maf	Bcl2a1b	-1.8685	rgb(116,155,235)
Fosl2	Bcl2a1b	-1.9314	rgb(112,153,235)
Batf	Bcl2a1d	1.9657	rgb(222,123,124)
Irf4	Bcl2a1d	-1.8735	rgb(115,155,235)
Maf	Bcl2a1d	-1.8304	rgb(118,157,234)
Rorc	Bcl2a1d	1.7356	rgb(222,134,135)
Fosl2	Bcl2a1d	-1.9511	rgb(111,153,236)
Maf	Bcl2l1	-1.9313	rgb(112,153,235)
Rorc	Bcl2l1	1.9402	rgb(222,124,125)
Fosl2	Bcl2l1	-1.9215	rgb(113,154,235)
Batf	Bcl2l11	-1.9697	rgb(110,152,236)
Irf4	Bcl2l11	-1.9784	rgb(110,152,236)
Rorc	Bcl2l11	-1.8528	rgb(116,156,235)
Fosl2	Bcl2l11	1.9072	rgb(222,126,127)
Hif1a	Bcl2l11	1.7092	rgb(222,135,136)
Irf4	Bcl3	1.9137	rgb(222,126,126)
Stat3	Bcl3	1.9708	rgb(222,123,124)
Rorc	Bcl3	-1.8388	rgb(117,156,234)
Hif1a	Bcl3	1.7558	rgb(222,133,134)
Batf	Bcl6	1.8966	rgb(222,126,127)
Stat3	Bcl6	1.9364	rgb(222,124,125)
Rorc	Bcl6	1.9429	rgb(222,124,125)
Fosl2	Bcl6	-1.8851	rgb(115,155,235)
Nfe2l2	Bcs1l	1.6055	rgb(221,140,141)
Irf4	Bdh2	-1.6968	rgb(125,161,233)
Stat3	Bdh2	1.5992	rgb(221,141,141)
Fosl2	Bdh2	-1.7964	rgb(119,158,234)
Batf	Bend3	-1.7081	rgb(124,161,233)
Irf4	Bend3	-1.6639	rgb(127,162,233)
Fosl2	Bend3	-1.6209	rgb(129,163,232)
Batf	Bend4	1.7352	rgb(222,134,135)
Maf	Bend4	-1.8686	rgb(116,155,235)
Stat3	Bend4	1.5364	rgb(221,144,144)
Fosl2	Bend4	1.765	rgb(222,133,134)
Batf	Bhlhe40	1.9139	rgb(222,126,126)
Irf4	Bhlhe40	1.9593	rgb(222,123,124)
Maf	Bhlhe40	-1.9574	rgb(111,152,236)
Stat3	Bhlhe40	1.9505	rgb(222,124,125)
Rorc	Bik	1.5797	rgb(221,141,142)
Maf	Bin1	-1.5092	rgb(135,167,231)
Maf	Birc2	-1.625	rgb(129,163,232)
Hif1a	Bloc1s3	1.8482	rgb(222,129,130)
Maf	Bmi1	-1.7457	rgb(122,159,234)
Batf	Bmp2k	1.9407	rgb(222,124,125)
Hif1a	Bmpr1a	1.7431	rgb(222,134,135)
Hif1a	Bnip3	1.9425	rgb(222,124,125)
Hif1a	Bnip3l	1.8704	rgb(222,128,129)
Fosl2	Bphl	1.6722	rgb(222,137,138)
Hif1a	Bsg	1.8873	rgb(222,127,128)
Irf4	Bspry	-1.8514	rgb(116,156,235)
Etv6	Bspry	-1.8144	rgb(118,157,234)
Irf4	Btbd19	1.8557	rgb(222,128,129)
Rorc	Btbd19	1.8511	rgb(222,129,129)
Fosl2	Btbd19	-1.7633	rgb(121,159,234)
Fosl2	Btbd2	1.7452	rgb(222,134,134)
Irf4	Btg1	-1.9456	rgb(111,153,236)
Fosl2	Btg1	1.8692	rgb(222,128,129)
