TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	P4ha2	0.95018	50.6	0.596	rgb(224,103,104)	1.9944	2,2
Hif1a	Sav1	0.95018	50.6	0.604	rgb(224,102,103)	1.9944	2,2
Irf9	Rasa4	0.95018	50.6	0.601	rgb(224,102,103)	1.9944	2,2
Nr1d1	Fhod3	0.95018	50.6	0.603	rgb(224,102,103)	1.9944	None
Nr3c1	Gemin6	0.95018	50.6	0.601	rgb(224,102,103)	1.9944	None
Stat3	Chmp4b	0.95018	50.6	0.602	rgb(224,102,103)	1.9944	None
Tcf7l2	Ccdc141	0.95018	50.6	0.604	rgb(224,102,103)	1.9944	None
Tet1	Mir1894	0.95018	50.6	0.596	rgb(224,103,104)	1.9944	None
Zfp711	Cish	0.95018	50.6	0.598	rgb(224,103,104)	1.9944	None
Jazf1	4930506M07Rik	0.95018	50.6	0.597	rgb(224,103,104)	1.9944	2,2
Zbed6	Zfp445	0.95018	50.6	0.598	rgb(224,103,104)	1.9944	2,2
Zbtb46	Ppap2a	0.95018	50.6	0.596	rgb(224,103,104)	1.9944	2,2
Zfp329	A230072C01Rik	0.95018	50.6	0.599	rgb(224,103,104)	1.9944	2,2
Zfp385a	Ptp4a3	0.95018	50.6	0.6	rgb(224,102,104)	1.9944	2,2
Zfp395	Stc2	0.95018	50.6	0.596	rgb(224,103,104)	1.9944	2,2
Zfp398	Sdr39u1	-0.95018	50.6	-6.0E-01	rgb( 87,138,240)	1.9944	2,2
E2f1	Smpd4	0.94791	50.59	0.591	rgb(223,104,105)	1.9942	None
Gabpa	Zfp445	0.94791	50.59	0.588	rgb(223,105,106)	1.9942	None
Jund	Vwa5a	0.94791	50.59	0.59	rgb(223,104,105)	1.9942	None
Klf8	Hist1h1a	0.94791	50.59	0.59	rgb(223,104,106)	1.9942	None
Plag1	Rasgrp4	0.94791	50.59	0.594	rgb(224,103,105)	1.9942	None
Rela	Tnk2	-0.94791	50.59	-5.9E-01	rgb( 88,139,240)	1.9942	None
Rfx3	Ptprc	-0.94791	50.59	-5.9E-01	rgb( 90,139,239)	1.9942	None
Rreb1	Lrp12	-0.94791	50.59	-5.9E-01	rgb( 89,139,239)	1.9942	None
Rxra	Rgma	0.94791	50.59	0.593	rgb(224,104,105)	1.9942	None
Sox13	Uba1	-0.94791	50.59	-5.9E-01	rgb( 89,139,239)	1.9942	2,2
Stat1	Zbp1	0.94791	50.59	0.589	rgb(223,105,106)	1.9942	None
Stat3	Atp2b4	0.94791	50.59	0.594	rgb(224,104,105)	1.9942	None
Thra	Fam114a2	-0.94791	50.59	-5.9E-01	rgb( 89,139,239)	1.9942	None
Atmin	Sbf2	0.94791	50.59	0.594	rgb(224,104,105)	1.9942	2,2
Casz1	Myo10	0.94791	50.59	0.594	rgb(224,104,105)	1.9942	2,2
Zfp280c	Rfx7	0.94791	50.59	0.588	rgb(223,105,106)	1.9942	2,2
Zfp318	Adora2b	-0.94791	50.59	-5.9E-01	rgb( 89,139,239)	1.9942	2,2
Zfp35	Mmachc	0.94791	50.59	0.594	rgb(224,103,105)	1.9942	2,2
Zfp473	Fkrp	-0.94791	50.59	-5.9E-01	rgb( 90,140,239)	1.9942	2,2
Zfp608	Kcnj8	0.94791	50.59	0.587	rgb(223,105,106)	1.9942	2,2
Zfp777	Rab27a	-0.94791	50.59	-5.9E-01	rgb( 89,139,239)	1.9942	2,2
Zfp831	Inpp4a	0.94791	50.59	0.592	rgb(224,104,105)	1.9942	2,2
Cenpb	Chl1	0.94565	50.58	0.581	rgb(223,106,107)	1.994	None
Dmrta2	Pik3ap1	0.94565	50.58	0.583	rgb(223,106,107)	1.994	None
Egr1	Ick	0.94565	50.58	0.581	rgb(223,106,107)	1.994	None
Ets1	Hist2h2bb	-0.94565	50.58	-5.8E-01	rgb( 91,140,239)	1.994	None
Fosl1	Mt1	0.94565	50.58	0.579	rgb(223,107,108)	1.994	None
Fosl1	Ube2v1	0.94565	50.58	0.585	rgb(223,105,107)	1.994	None
Glis3	Ldlrap1	0.94565	50.58	0.579	rgb(223,106,108)	1.994	2,2
Hes1	Selenbp1	-0.94565	50.58	-5.8E-01	rgb( 91,140,239)	1.994	2,2
Hif1a	Rassf1	0.94565	50.58	0.577	rgb(223,107,108)	1.994	2,2
Hif1a	Sertad1	0.94565	50.58	0.578	rgb(223,107,108)	1.994	2,2
Irf5	Sema6b	-0.94565	50.58	-5.8E-01	rgb( 92,141,239)	1.994	2,2
Irf9	Cmpk2	0.94565	50.58	0.576	rgb(223,107,108)	1.994	2,2
Klf4	Dnmt3a	-0.94565	50.58	-5.8E-01	rgb( 91,141,239)	1.994	None
Lef1	Abca1	0.94565	50.58	0.58	rgb(223,106,107)	1.994	None
Nfkb2	Ehbp1l1	0.94565	50.58	0.583	rgb(223,106,107)	1.994	2,2
Nr1d1	Il23r	0.94565	50.58	0.578	rgb(223,107,108)	1.994	None
Nr1d2	Lta	0.94565	50.58	0.581	rgb(223,106,107)	1.994	2,2
Rel	Ergic1	0.94565	50.58	0.584	rgb(223,105,107)	1.994	None
Smad3	Ss18	0.94565	50.58	0.584	rgb(223,105,107)	1.994	None
Sox13	Rel	0.94565	50.58	0.579	rgb(223,106,108)	1.994	None
Spib	Trim69	0.94565	50.58	0.58	rgb(223,106,107)	1.994	None
Stat3	Tnip2	0.94565	50.58	0.576	rgb(223,107,108)	1.994	None
Stat5b	Ddr1	0.94565	50.58	0.577	rgb(223,107,108)	1.994	None
Thap1	Bcar1	-0.94565	50.58	-5.8E-01	rgb( 91,140,239)	1.994	None
Zfp182	Cd96	-0.94565	50.58	-5.8E-01	rgb( 91,141,239)	1.994	2,2
Akna	Sugt1	-0.94565	50.58	-5.8E-01	rgb( 92,141,239)	1.994	2,2
L3mbtl3	Ypel2	0.94565	50.58	0.576	rgb(223,107,108)	1.994	2,2
Zbtb46	Cd83	0.94565	50.58	0.577	rgb(223,107,108)	1.994	2,2
