TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zfp536	Fyn	0.94949	50.66	0.656	rgb(224, 92, 93)	1.995	2,2
Zfp536	Tekt2	0.94949	50.66	0.662	rgb(224, 91, 92)	1.995	2,2
Zfp787	Zfp668	0.94949	50.66	0.655	rgb(224, 92, 93)	1.995	2,2
Ets1	Tex2	0.94738	50.65	0.65	rgb(224, 93, 94)	1.9948	None
Foxp3	Nt5e	0.94738	50.65	0.646	rgb(224, 94, 95)	1.9948	None
Hbp1	Rpusd2	-0.94738	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	None
Irf4	Abcd3	-0.94738	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	None
Irf4	Spry2	-0.94738	50.65	-6.5E-01	rgb( 75,131,242)	1.9948	None
Sox5	Tbc1d30	-0.94738	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	None
Sp3	Cnnm4	0.94738	50.65	0.648	rgb(224, 93, 95)	1.9948	None
Sp3	Uqcrq	-0.94738	50.65	-6.5E-01	rgb( 77,132,242)	1.9948	None
Sp4	Dctn4	0.94738	50.65	0.655	rgb(224, 92, 93)	1.9948	None
Srf	Wdr1	0.94738	50.65	0.648	rgb(224, 93, 95)	1.9948	None
Mxd4	Tcp11l2	0.94738	50.65	0.651	rgb(224, 93, 94)	1.9948	2,2
Zfp277	Fam120c	-0.94738	50.65	-6.5E-01	rgb( 75,131,242)	1.9948	2,2
Zfp385a	Zmat3	0.94738	50.65	0.648	rgb(224, 93, 95)	1.9948	2,2
Zfp429	Apold1	-0.94738	50.65	-6.5E-01	rgb( 77,132,242)	1.9948	2,2
Zfp429	Zfp874a	0.94738	50.65	0.646	rgb(224, 94, 95)	1.9948	2,2
Zfp775	Fam69b	0.94738	50.65	0.653	rgb(224, 92, 94)	1.9948	2,2
Creb3l2	Gatsl2	0.94528	50.64	0.644	rgb(224, 94, 95)	1.9946	2,2
Epas1	Mllt3	0.94528	50.64	0.642	rgb(224, 94, 96)	1.9946	None
Irf1	Tgtp2	0.94528	50.64	0.643	rgb(224, 94, 96)	1.9946	None
Irf5	St14	0.94528	50.64	0.643	rgb(224, 94, 96)	1.9946	2,2
Irf5	Unc93b1	0.94528	50.64	0.641	rgb(224, 94, 96)	1.9946	2,2
Irf7	Gbp10	0.94528	50.64	0.635	rgb(224, 96, 97)	1.9946	2,2
Irf7	Pydc4	0.94528	50.64	0.636	rgb(224, 96, 97)	1.9946	2,2
Mybl1	Gtse1	0.94528	50.64	0.636	rgb(224, 96, 97)	1.9946	2,2
Nr4a1	Nfkbie	0.94528	50.64	0.639	rgb(224, 95, 96)	1.9946	2,2
Osr2	Serpinb1b	0.94528	50.64	0.637	rgb(224, 95, 97)	1.9946	2,2
Rbpj	Nfil3	0.94528	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Rfx1	Psme1	-0.94528	50.64	-6.4E-01	rgb( 78,132,241)	1.9946	None
Sp110	Max	0.94528	50.64	0.642	rgb(224, 94, 96)	1.9946	2,2
Sp4	Nrf1	-0.94528	50.64	-6.4E-01	rgb( 77,132,241)	1.9946	None
Sp4	Srsf12	0.94528	50.64	0.635	rgb(224, 96, 97)	1.9946	2,2
Tbx21	Notch1	0.94528	50.64	0.639	rgb(224, 95, 96)	1.9946	2,2
Cbx2	Ccdc126	-0.94528	50.64	-6.4E-01	rgb( 78,133,241)	1.9946	2,2
Zfp367	Rpa2	0.94528	50.64	0.638	rgb(224, 95, 96)	1.9946	2,2
