	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
Gpatch11	8.9959	8.3836	8.6142	8.5602	8.1641	8.5452	8.3992	8.5193	8.3988	8.7486	8.7232	8.2629	 8.528	8.4943	8.6642	8.6493	8.4148
Gpatch2	8.0968	7.9742	8.1993	8.5505	8.5164	 8.344	8.3342	8.5057	8.6469	 8.538	8.3548	8.1843	8.3503	8.3348	8.3256	8.3787	8.5488
Gpatch2l	10.0372	10.0444	10.1398	9.76839	9.07738	9.19833	10.1783	 9.9261	9.70002	9.54302	9.41189	9.15201	9.08096	9.24875	 9.0773	9.11136	9.35789
Gpatch3	7.9743	7.9273	8.0508	7.9746	7.7962	 7.387	8.3589	8.3312	8.2273	8.3183	8.1809	8.1242	7.9478	7.2569	7.1343	7.4177	 7.385
Gpatch4	  8.289	8.71592	10.6767	11.3761	11.2489	10.6075	10.2372	10.6392	11.5841	11.6573	11.5184	11.2056	 11.054	10.1705	10.7499	10.6766	10.3082
Gpatch8	12.0471	11.9888	11.5835	 11.345	11.1261	10.9993	11.7253	11.3338	11.3036	11.0418	11.0055	11.1691	10.7615	 10.992	10.9735	10.9065	11.0327
Gpbar1	3.0418	3.0418	4.0578	3.0418	3.7304	3.0418	4.1974	4.2145	4.1099	3.0418	3.0418	3.3805	3.7519	3.0418	3.4181	 3.911	3.7535
Gpbp1	 13.002	13.2121	12.2651	12.2683	11.7362	11.7414	12.5075	12.1874	 11.981	11.6542	11.8282	11.7157	11.4789	11.4875	11.8894	11.7479	11.8551
Gpbp1l1	11.9077	11.5345	 10.188	9.97554	 9.5899	9.83847	10.9015	9.73885	9.64149	9.59751	9.62204	9.38994	9.14981	9.85577	9.78883	9.73174	9.84044
Gpc1	7.1984	6.9125	6.7745	7.6519	8.1741	7.3662	7.2619	7.0825	7.8136	 8.096	7.9383	8.2095	8.3077	7.9131	7.1544	7.6293	7.3077
Gpc2	 6.125	  5.28	5.6187	5.4973	5.3991	 4.884	5.4177	5.8828	5.5594	5.9753	5.7525	5.7738	5.9905	5.0677	4.8511	5.1015	5.0587
Gpc3	3.0418	3.0418	3.0418	3.0418	3.4723	3.4748	3.0418	3.0418	3.0418	3.5395	3.0418	3.0418	3.0418	3.4529	3.5272	3.7146	3.3905
Gpc4	3.0418	3.0418	3.0418	3.0418	3.4778	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	 3.245	3.0418	3.0418	3.2316	3.3002	3.0418
Gpc5	3.8693	3.7476	3.0418	3.0418	3.0418	3.4748	3.7207	3.0418	3.5282	3.0418	3.0418	3.0418	3.4545	3.6212	3.3094	3.7146	3.2999
Gpc6	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.0418	3.4418	3.0418	3.0418	3.0418	3.3002	3.2895
Gpcpd1	13.1177	12.3884	11.5133	10.0613	9.74422	9.80774	11.1704	10.7522	9.48478	9.14916	9.23045	9.24812	9.26569	9.47806	9.83455	9.75708	10.1859
Gpd1	4.3254	5.4278	5.2086	 5.578	4.4217	4.4854	5.3509	5.2805	5.8772	5.5453	4.7617	 4.849	4.2487	4.2796	4.0427	4.5608	4.2357
Gpd1l	10.5391	10.1529	9.40996	9.55083	9.84065	9.60545	9.55798	 8.9799	9.35339	9.47038	9.42169	9.43614	9.36703	9.34398	9.56414	9.57911	9.40001
Gpd2	10.8939	11.2077	 10.792	 9.8572	10.8886	 10.835	10.9938	10.9844	 10.031	10.1013	10.5328	10.8953	11.1771	11.0775	11.0297	10.8057	10.2417
Gper1	3.8693	3.7476	5.4107	5.1691	5.1387	4.2755	3.9934	5.4082	6.0123	5.4471	5.3045	5.1643	4.0364	4.3092	4.1812	4.6189	4.6631
Gpha2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.2716	3.0418
Gphb5	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	4.1974	3.5777	3.0418	3.0418	3.0418	3.0418	3.7519	3.0418	3.5356	3.3002	3.0418
Gphn	8.05206	8.24696	7.57441	9.68923	10.2201	10.0156	7.90132	7.42013	9.36378	9.07958	9.10017	9.56176	9.17204	9.79842	10.0917	 10.041	10.0946
Gpi1	 11.554	11.4613	11.4334	11.6687	12.6505	12.5453	11.6556	 11.738	12.1286	12.3758	12.2326	12.2658	 12.084	13.0165	12.6358	 12.824	13.0145
Gpihbp1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpkow	10.7262	10.6465	10.0237	9.81146	9.61652	9.68867	10.6158	10.0329	9.84195	9.84122	 9.7739	9.82475	9.83627	9.78104	9.75987	9.75375	9.81554
Gpld1	9.3157	8.9333	9.2093	8.9352	9.0371	8.7459	8.9089	8.8743	9.0661	8.8635	8.7929	8.8484	8.6501	9.0033	8.8764	8.8724	8.9308
Gpm6a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3686	3.0418	3.2895
Gpm6b	4.9536	4.6959	5.6815	5.5383	4.9896	5.5118	5.2064	 5.794	5.5594	4.9095	5.1807	4.6289	4.5728	4.6289	5.9376	7.1597	5.9304
Gpn1	9.06504	9.06377	 9.6486	10.1163	10.2895	9.79057	9.07717	9.66109	  10.17	10.2727	10.4044	10.3403	10.3142	9.66356	9.94116	9.92941	9.55776
Gpn2	7.6828	7.7897	8.6681	8.7366	8.7482	8.6344	8.0198	8.7755	8.9769	9.1031	9.0859	9.0449	9.1956	8.9556	  8.48	8.7666	8.5807
Gpn3	10.0276	9.56295	8.79448	9.09646	9.61093	 9.5384	9.45483	8.83485	9.40055	 9.9607	9.96589	9.89295	 10.334	9.69018	9.44694	9.54844	9.15938
Gpnmb	6.4142	6.1665	 5.021	3.8295	3.0418	3.9962	5.7094	4.5844	4.0013	3.0418	3.0418	 3.245	3.4545	 4.524	3.8944	4.3415	3.8934
Gpr1	3.0418	3.7476	3.5576	3.6022	3.0418	3.0418	3.0418	3.5777	4.2949	3.0418	3.7991	3.4663	3.0418	3.6165	3.0418	  3.53	3.0418
Gpr101	3.0418	3.0418	3.0418	3.0418	3.0418	3.8669	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	4.1853	3.8939	3.2895
Gpr107	9.38346	9.62305	10.4197	10.3761	9.51903	9.94759	 9.7815	10.3677	10.3076	10.1511	9.97922	9.74059	9.58667	9.86884	10.0003	9.98663	10.0778
Gpr108	9.2179	8.9569	9.3664	9.0629	9.2878	9.3226	9.2805	9.1296	9.2407	9.4582	9.4152	9.1615	9.1464	 9.414	9.2018	9.1933	9.4507
Gpr110	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	4.5097	3.9599	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr111	3.8693	3.7476	3.5576	3.8295	3.9908	3.0418	3.0418	3.0418	3.8765	3.5395	3.4824	3.5504	3.8591	3.7513	3.6643	3.8058	3.6485
Gpr113	3.0418	3.0418	3.5576	3.0418	3.4723	3.4148	3.0418	3.5777	3.0418	3.0418	3.0418	 3.245	3.0418	 3.471	3.5272	  3.53	3.6485
Gpr114	4.0486	4.2417	3.0418	3.0418	3.0418	3.0418	4.1974	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	4.3054	3.2316	3.2716	 3.956
Gpr115	3.6309	3.7476	3.0418	3.0418	3.6561	3.0418	3.0418	3.5777	3.5282	3.0418	3.0418	3.6128	3.8591	3.0418	3.4571	3.3002	3.0418
Gpr116	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2386	3.0418	3.0418	3.0418	3.0418	3.5476
Gpr119	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5395	3.0418	3.0418	3.4545	3.4092	3.0418	3.0418	3.0418
Gpr12	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3375	3.0418	3.0418
Gpr123	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.2716	3.0418
Gpr124	 4.197	4.8143	5.2932	5.2715	5.1619	4.2367	4.6375	4.9803	5.0145	5.2655	5.3045	4.8714	4.6627	4.4744	 4.233	4.6162	4.2909
Gpr125	5.9709	5.8965	4.6733	 5.761	6.7672	7.4279	5.2807	4.5844	 5.646	5.8034	5.7525	6.4007	 6.887	7.1525	7.2983	7.2788	6.9454
Gpr126	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	 3.245	3.0418	3.4529	3.5272	3.3002	3.2895
Gpr128	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.2316	3.2716	3.0418
Gpr132	14.3604	14.3255	 12.405	11.2272	10.4822	10.6422	 14.362	11.8843	10.7112	10.5057	10.3395	10.1606	10.2023	 11.297	10.7171	10.3473	10.7587
Gpr133	4.4395	4.5643	4.0578	3.0418	3.4723	3.4765	4.8575	4.2145	3.8765	3.8957	3.4824	3.3192	3.7519	4.0326	3.9509	3.8796	3.8928
Gpr135	3.6309	3.0418	3.0418	3.0418	3.0418	3.6069	3.7207	3.0418	3.5282	3.0418	3.6625	3.4663	3.0418	3.7513	3.5272	3.3002	3.2895
Gpr137	5.9709	5.7389	 6.312	6.4074	  7.19	7.6599	6.0762	6.6397	6.7981	7.4304	7.1113	7.2124	7.7973	7.9993	   7.3	7.4549	7.2729
Gpr137b	4.0486	4.5643	3.5576	3.0418	3.0418	3.6519	3.7207	3.0418	3.0418	3.0418	3.0418	3.0418	3.6235	3.0418	3.8767	3.6355	3.2895
Gpr137b-ps	6.6134	6.8633	5.7416	4.8705	4.7261	4.8623	6.1922	4.8621	4.5214	4.0232	3.7991	3.8292	4.5251	4.6108	4.5327	4.7879	4.9362
Gpr137c	4.0486	4.0305	4.5305	4.2658	4.0027	3.8984	3.9934	3.9599	3.5282	3.8957	 3.913	3.7657	3.8591	3.8584	3.5683	4.2182	3.7884
Gpr139	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr141	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.8584	3.2316	3.0418	3.2999
Gpr142	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr143	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr146	10.8423	10.4386	10.4163	8.27363	6.66469	6.49892	12.3163	11.5812	9.21113	  8.631	8.12601	7.23586	6.09607	9.05127	 7.7876	7.13311	9.52498
Gpr149	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr15	3.8693	3.0418	3.5576	3.0418	3.4778	3.9018	3.0418	3.5777	3.0418	3.5395	3.7991	3.9679	6.0367	7.6709	3.3094	4.0048	6.5779
Gpr150	3.0418	3.0418	3.0418	3.8295	3.0418	3.6543	3.0418	3.0418	3.5282	3.5395	3.4824	3.6057	3.4545	3.6748	3.4614	3.4958	3.8928
Gpr151	3.8693	3.0418	4.3667	4.6492	4.0907	4.0086	4.3652	4.7985	4.9686	3.8957	 3.913	4.1597	3.9526	 3.988	3.9234	4.0564	3.6485
Gpr152	3.6309	3.0418	3.7675	4.0009	3.4778	3.4148	4.5097	3.9599	4.1099	3.5395	 3.913	3.6128	3.4545	3.0418	3.6051	3.6741	3.0418
Gpr153	4.0486	4.0305	4.4517	5.1691	4.0068	4.0836	3.0418	4.5031	4.9209	4.6844	4.3258	4.4212	3.8591	3.7491	4.0697	3.5474	3.9787
Gpr155	8.79797	9.18837	9.63901	 7.7225	7.57328	7.28669	10.1432	8.11471	7.05655	7.00901	7.27208	7.71696	7.69696	7.33506	7.56752	7.19999	 7.3037
Gpr156	3.0418	3.0418	3.0418	3.6022	3.4778	3.0418	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.4545	3.0418	3.6643	3.0418	3.2895
Gpr157	5.7602	5.4278	5.4837	5.7949	5.3788	6.6035	6.5794	4.9226	4.4511	4.2329	4.5647	4.5724	5.1245	5.6326	6.3701	5.8358	  7.03
Gpr158	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.0418
Gpr160	5.9709	5.9924	 5.827	5.5383	5.0613	5.4869	6.1922	5.8538	5.5889	 4.857	4.6674	4.5769	4.8241	  5.31	5.5458	5.6491	 6.275
Gpr161	3.0418	3.7476	3.0418	3.0418	3.6484	4.8213	3.0418	3.0418	3.0418	3.7423	3.4824	3.5883	4.0364	4.1822	4.6721	4.2765	4.8811
Gpr162	4.0486	4.4152	4.9694	4.8705	6.3366	5.3564	4.5097	5.1879	5.4984	 5.777	5.7525	5.9824	5.9905	6.1299	5.3526	5.7293	5.7425
Gpr165	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr17	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.3654	3.0418
Gpr171	11.2861	12.6244	 12.662	12.1787	10.8359	11.1612	12.3745	11.7443	10.7934	10.5349	9.65981	9.08514	9.41228	10.8987	 11.623	10.8932	10.1187
Gpr173	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr174	11.4947	11.3152	13.3703	13.0083	11.7237	11.4424	9.88998	11.6286	11.1537	10.5203	10.2824	10.2054	9.00485	 10.205	11.3409	11.3252	 10.146
Gpr176	3.0418	3.0418	3.0418	3.0418	4.2446	4.6893	3.0418	3.0418	3.7264	3.5395	3.4824	3.0418	3.6235	3.4529	5.1862	4.4251	4.6475
Gpr179	4.9536	4.6959	4.3667	4.4743	5.2849	5.7656	4.6375	4.8621	4.9209	4.9598	4.6172	4.9997	4.9997	5.9564	 5.415	5.9063	6.4214
Gpr18	 10.579	10.6893	10.5109	10.0596	 9.5304	8.46079	12.0669	11.0192	10.2461	10.2658	9.67901	9.42335	8.43203	9.14404	9.45433	8.23701	7.78778
Gpr180	7.6023	7.1566	7.9488	8.1447	8.7075	8.1748	7.6305	7.3708	7.9957	8.4219	8.2885	8.4916	9.0792	8.4501	8.2966	8.2402	8.5399
Gpr182	4.5426	4.0305	4.6733	4.7276	3.8936	3.8984	4.3652	4.9226	4.7658	4.6208	4.4519	4.0001	4.1831	4.2442	 3.864	 3.999	4.1297
Gpr183	11.2699	 11.855	11.9976	11.2851	11.4513	11.1355	12.5116	12.3124	   10.3	9.77102	9.71532	9.59334	8.44333	10.3811	10.9149	11.1018	10.0581
Gpr19	6.7882	7.0508	 6.657	5.6166	7.3169	7.1789	6.7644	5.7315	6.1551	6.0862	6.4541	6.7271	7.1927	7.0041	6.7397	7.0072	6.8359
Gpr20	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.2316	3.3002	3.0418
Gpr21	5.0859	4.6959	4.6733	4.0009	4.5503	 3.836	4.6375	4.0962	4.1099	3.7423	3.7991	 4.007	3.9526	4.0356	3.9501	4.1687	3.8436
Gpr22	5.1473	3.7476	4.2742	4.3753	 4.298	4.2412	4.3652	4.9226	4.1099	3.0418	 4.182	3.9142	3.0418	4.1538	4.2554	4.3998	4.7971
Gpr25	3.0418	3.0418	3.5576	3.0418	5.3179	 3.836	3.0418	3.0418	3.7264	3.5395	4.3258	5.6003	5.4399	 3.471	3.9836	3.7542	 6.314
Gpr26	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr27	3.0418	3.7476	3.0418	3.0418	3.4723	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4092	3.3094	 3.695	3.2895
Gpr3	3.8693	4.6959	3.7675	4.4743	4.0027	3.8669	3.9934	3.5777	4.5214	4.3227	4.1012	4.2493	3.4545	4.4179	3.7571	4.1171	3.8928
Gpr31b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr33	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.6239	3.0418
Gpr34	5.5561	4.4152	4.4517	4.1428	4.7699	6.3401	4.6375	3.0418	3.7264	3.5395	3.6625	3.5496	3.9526	4.2796	6.5999	 6.589	6.3861
Gpr35	3.0418	3.0418	3.0418	3.6022	3.0418	 4.735	3.0418	3.5777	3.0418	3.0418	3.4824	3.4418	3.4545	3.0418	4.0055	4.1687	3.2895
Gpr37	3.0418	3.0418	3.0418	3.6022	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr37l1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr39	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr4	3.8693	4.2417	3.9261	3.6022	3.8936	4.1516	4.5097	3.7955	3.8765	3.7423	3.4824	3.7831	3.4545	3.7513	3.5002	4.1445	 4.151
Gpr45	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.9934	3.0418	3.5282	3.5395	3.4824	 3.245	3.6235	 3.471	3.0418	3.6239	3.6485
Gpr50	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5272	3.4054	3.0418
Gpr52	3.8693	3.0418	4.0578	3.8295	5.1387	4.8143	3.0418	3.7955	4.3759	4.4819	4.3258	4.4339	4.5728	5.0252	4.6978	4.4973	4.5063
Gpr55	3.0418	3.0418	3.7675	3.0418	6.0826	6.6417	3.7207	4.4155	3.7264	 5.226	6.0388	 6.112	7.7204	 6.284	6.6727	6.2564	8.7792
Gpr56	4.5426	4.0305	4.0578	3.6022	4.3617	4.8623	3.9934	4.8621	5.1431	5.3039	5.1479	5.3301	5.4859	5.5928	4.9742	5.0819	7.6715
Gpr6	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.0418
Gpr61	3.0418	3.0418	3.5576	3.8295	3.0418	4.1676	3.0418	3.7955	3.7264	3.7423	3.6625	3.3805	4.1127	4.0248	4.0736	 4.153	4.0386
Gpr62	4.5426	3.0418	3.5576	3.8295	3.7304	4.0876	3.9934	3.7955	3.8765	3.0418	3.4824	 3.761	4.1831	4.3632	  4.08	4.2526	3.6347
Gpr63	3.0418	4.0305	3.7675	3.0418	3.0418	3.0418	3.0418	3.5777	3.5282	3.0418	4.0123	3.0418	3.4545	3.4092	3.6051	3.0418	3.5476
Gpr64	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3654	3.0418
Gpr65	9.44239	9.72941	10.4551	10.1819	9.30654	11.2893	10.6328	12.1842	11.4151	11.1886	11.1988	11.4854	11.4898	12.0979	11.4801	10.4941	10.1064
Gpr68	8.38831	7.45071	9.29246	10.2713	9.51029	10.6961	6.57939	10.1731	11.7582	11.8866	11.6778	11.4157	11.0526	11.2444	9.86026	10.5792	10.2703
Gpr75	3.0418	4.0305	3.7675	3.0418	4.1708	3.7226	3.0418	3.0418	3.7264	3.7423	3.4824	3.6128	3.0418	3.6212	3.3686	3.8594	3.4049
Gpr82	3.6309	4.2417	3.0418	3.0418	3.0418	3.6519	3.9934	3.0418	3.5282	3.5395	3.0418	3.2386	3.0418	3.0418	3.7369	  3.53	3.4049
Gpr83	6.6134	8.0853	8.1676	7.2945	8.1198	5.8744	8.8168	9.2732	 8.697	8.9469	9.2672	9.5423	8.2283	6.9448	 5.713	6.3342	7.3131
Gpr84	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.5395	3.0418	3.0418	3.4545	3.4542	3.0418	3.0418	3.3905
Gpr85	3.8693	3.0418	3.0418	3.0418	3.0418	3.6069	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3094	3.3654	3.0418
Gpr87	3.0418	3.0418	3.7675	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2895
Gpr88	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpr89	  8.52	8.3215	9.1156	9.3373	9.6064	9.6315	 8.367	9.1027	9.3429	9.3376	9.6598	9.7344	9.5687	 9.347	9.6651	9.7318	9.2624
Gpr97	6.5926	6.4273	6.1464	5.9527	4.4217	3.4748	6.8369	6.5534	6.0336	5.6946	5.5714	5.0898	4.7461	3.9988	3.6216	3.3002	3.4668
Gpr98	3.6309	3.0418	3.0418	3.8295	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.4824	3.2386	3.4545	3.0418	3.5272	3.9388	3.8988
Gprasp1	12.1615	11.8605	10.2686	10.3471	9.46382	9.04322	10.7275	10.1219	10.2979	9.65711	9.53892	9.34708	9.04804	8.69688	8.89691	8.78776	 8.8156
Gprasp2	7.4609	7.3826	5.3335	4.9985	4.1708	4.6416	6.2994	5.0883	5.2222	5.0082	5.5714	5.2325	5.1538	5.3666	4.4986	4.9715	4.4164
Gprc5a	5.8695	5.7389	5.1642	4.9985	5.1063	5.9111	5.3509	4.7985	4.9209	 5.226	5.4967	5.8117	7.1587	8.1844	5.8055	 6.179	5.9239
Gprc5b	7.8835	7.0287	7.1559	5.7263	4.4785	4.7366	5.9049	4.7985	  4.65	4.6208	4.4519	4.2426	4.8612	4.6108	4.9739	4.8594	4.7259
Gprc5c	3.0418	4.0305	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3686	3.2716	3.0418
Gprc5d	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gprc6a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gprin1	3.6309	3.0418	3.0418	3.0418	3.0418	3.0418	3.7207	3.0418	3.5282	3.0418	3.0418	3.0418	3.0418	3.4529	3.4181	3.2716	3.6485
Gprin2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.2716	4.9241
Gprin3	7.6228	7.1361	5.2086	4.8012	6.3858	7.5257	7.3469	4.7985	6.1355	6.6573	6.9022	7.0035	7.8662	8.6875	7.6893	8.7503	 9.584
Gps1	7.4494	 7.593	8.5745	 8.565	8.7001	7.9228	7.8205	9.0315	8.9047	9.1466	8.9748	9.0511	8.9991	8.2719	7.7234	8.0106	8.0839
Gps2	10.5282	10.5336	10.4507	10.0916	9.98032	9.31789	10.7228	10.1945	9.87861	 10.215	10.0441	10.0749	10.0378	9.39705	8.84796	 9.1575	9.33384
Gpsm1	9.1594	9.1118	8.1569	8.3973	 8.308	8.1411	8.9797	8.2999	8.4228	8.5759	8.5552	8.6902	8.8878	7.9107	7.8727	8.1651	7.5516
Gpsm2	8.1259	8.1984	6.6873	6.3183	 6.442	9.1778	8.6666	 6.045	5.8044	6.4089	6.7225	7.8273	9.8223	9.6171	  9.23	8.9113	9.4567
Gpsm3	 10.972	10.6841	10.2933	9.54841	8.85107	9.50553	10.5672	9.48015	9.01426	 9.1416	8.73114	8.48899	8.43486	9.53488	8.86198	 9.0517	8.93743
Gpt	6.4142	5.6229	5.5862	6.2716	6.4034	6.3019	 5.542	 5.666	6.5572	6.9289	6.4281	6.3767	6.4305	6.4096	6.1332	6.0385	6.2766
Gpt2	5.0215	4.5643	4.4517	5.1147	 5.548	8.5577	5.8585	8.0027	5.8772	 5.666	5.7525	6.0741	6.6818	9.8573	8.6914	8.9673	9.6758
Gpx1	9.65664	9.84433	10.1151	10.4005	11.6762	11.8382	10.4399	9.77148	10.3697	11.5523	11.6713	11.7343	11.9405	11.4655	11.5484	11.6469	11.9579
Gpx2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpx2-ps1	4.8056	4.9222	4.1722	4.3753	3.0418	3.4748	4.1974	3.9599	4.0013	3.5395	3.6625	3.8646	3.4545	 3.623	3.3375	3.3654	3.6485
Gpx3	 5.417	 5.356	5.5529	5.3198	4.6806	4.7403	4.5097	4.7985	5.2968	4.6208	4.3258	4.6776	4.3681	4.3671	4.2554	4.7675	4.6098
Gpx4	7.5919	7.0287	6.0321	5.6166	7.0297	8.4711	7.8205	6.1435	6.4194	7.0201	7.2648	 7.305	8.2669	8.7739	8.1467	 8.447	8.5902
Gpx5	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	 3.245	3.0418	3.0418	3.0418	3.0418	3.0418
Gpx6	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Gpx7	4.0486	4.4152	3.7675	3.6022	3.9043	5.2117	3.9934	3.7955	4.1099	3.8957	 4.182	4.2867	4.2487	 4.931	5.0661	5.1667	  5.23
Gpx8	3.0418	3.0418	3.0418	3.6022	3.4778	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.6212	3.6051	3.3654	3.8329
Gramd1a	13.4759	13.1831	12.8989	12.1052	 11.574	  11.43	  12.91	12.5363	12.0281	 12.296	12.1187	12.0547	12.0461	11.6439	 11.208	11.1052	11.6725
