	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
1700007P06Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700008F21Rik	3.6309	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700008I05Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.6543	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5272	3.2716	3.0418
1700008J07Rik	7.9255	7.6947	8.1242	 7.798	7.7091	7.0827	8.6992	 8.478	8.1526	8.0536	7.5776	7.4222	7.2193	6.7726	6.7443	6.8693	7.1412
1700008K24Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700008O03Rik	3.8693	3.0418	3.7675	3.0418	3.0418	3.7226	3.0418	3.0418	3.0418	3.7423	3.0418	3.0418	3.4545	3.6748	3.0418	3.8001	3.6485
1700008P02Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700009C05Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700009J07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.0418	3.0418
1700009N14Rik	3.0418	3.0418	3.0418	3.8295	4.0778	3.7863	3.0418	3.0418	4.0013	4.3227	4.3258	4.2776	4.7051	3.7513	3.6274	4.0292	3.5476
1700009P17Rik	3.0418	3.7476	3.5576	3.6022	3.6561	4.5461	3.7207	3.9599	4.1099	3.7423	3.4824	3.3192	3.6235	4.0326	4.3519	  3.71	 4.151
1700010B08Rik	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.4545	3.0418	3.3375	3.0418	3.0418
1700010D01Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700010I02Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700010I14Rik	5.0859	  5.28	5.5862	5.4115	5.6876	 6.659	5.2807	5.8242	 5.646	5.7226	5.4967	 5.486	5.8764	6.5933	6.4627	6.5663	6.1325
